ticket_type,creation_date,view_date,action_date,customer_satisfaction,customer_problem_resolved,user_actioned,user_team
live_chat,2023-06-02 08:35:00.000000000,2023-06-02 08:35:00.000000000,2023-06-02 08:52:00.000000000,2,False,8ac38c,green
email,2023-06-02 08:14:00.000000000,2023-06-02 08:56:00.000000000,2023-06-02 09:25:00.000000000,3,True,8ac38c,green
email,2023-06-02 06:03:00.000000000,2023-06-02 09:29:00.000000000,2023-06-02 09:56:00.000000000,5,True,8ac38c,green
web_form,2023-06-02 06:42:00.000000000,2023-06-02 09:58:00.000000000,2023-06-02 10:20:00.000000000,2,False,8ac38c,green
email,2023-06-02 09:24:00.000000000,2023-06-02 10:24:00.000000000,2023-06-02 10:46:00.000000000,5,True,8ac38c,green
web_form,2023-06-02 10:49:00.000000000,2023-06-02 10:49:00.000000000,2023-06-02 11:20:00.000000000,1,False,8ac38c,green
email,2023-06-02 10:51:00.000000000,2023-06-02 11:26:00.000000000,2023-06-02 11:52:00.000000000,5,True,8ac38c,green
web_form,2023-06-02 12:26:00.000000000,2023-06-02 12:46:47.130122249,2023-06-02 13:01:47.130122249,1,False,8ac38c,green
email,2023-06-02 11:24:00.000000000,2023-06-02 13:04:47.130122249,2023-06-02 13:35:47.130122249,5,True,8ac38c,green
web_form,2023-06-02 13:30:00.000000000,2023-06-02 13:42:47.130122249,2023-06-02 14:17:47.130122249,1,True,8ac38c,green
email,2023-06-02 10:53:00.000000000,2023-06-02 14:23:47.130122249,2023-06-02 14:56:47.130122249,5,True,8ac38c,green
live_chat,2023-06-02 14:52:47.130122249,2023-06-02 14:58:47.130122249,2023-06-02 15:18:47.130122249,5,True,8ac38c,green
email,2023-06-02 14:30:00.000000000,2023-06-02 15:23:47.130122249,2023-06-02 16:04:47.130122249,2,True,8ac38c,green
email,2023-06-02 15:03:00.000000000,2023-06-02 16:08:47.130122249,2023-06-02 16:44:47.130122249,3,True,8ac38c,green
email,2023-06-02 13:38:00.000000000,2023-06-02 16:47:47.130122249,2023-06-02 17:12:47.130122249,5,True,8ac38c,green
email,2023-06-03 07:28:00.000000000,2023-06-03 08:35:00.000000000,2023-06-03 09:06:00.000000000,4,True,8ac38c,green
web_form,2023-06-02 19:46:00.000000000,2023-06-03 09:10:00.000000000,2023-06-03 09:35:00.000000000,5,True,8ac38c,green
email,2023-06-02 14:49:00.000000000,2023-06-03 09:40:00.000000000,2023-06-03 10:13:00.000000000,4,True,8ac38c,green
web_form,2023-06-02 22:16:00.000000000,2023-06-03 10:15:00.000000000,2023-06-03 10:49:00.000000000,5,True,8ac38c,green
web_form,2023-06-03 06:13:00.000000000,2023-06-03 10:52:00.000000000,2023-06-03 11:12:00.000000000,5,True,8ac38c,green
